'x', 'y', 'distance'
4.980973490458728, 0.4357787137382908, 5, 1716389538.389377
16.73735543392253, 2.934674837320489, 17, 1716389538.389377
19.8736106827541, 3.833981558484783, 20, 1716389538.389377
25.76267406782829, 5.522643310595955, 26, 1716389538.389377
33.75531621575695, 7.515432814779234, 34, 1716389538.389377
38.84421047727701, 8.784236657684154, 39, 1716389538.389377
43.887333628817, 9.856185574853981, 44, 1716389538.389377
48.90606591866896, 10.83172830883486, 49, 1716389538.389377
53.92261169529689, 11.71628067921346, 54, 1716389538.389377
58.93748892452627, 12.51055920246122, 59, 1716389538.389377
62.96046392147688, 13.07595146651951, 63, 1716389538.389377
66.97787099869823, 13.49819796512177, 67, 1716389538.389377
71.98088928292785, 13.93590534840478, 72, 1716389538.389377
75.99020964829302, 14.21626433961496, 76, 1716389538.389377
81.9917637911907, 14.53079246449116, 82, 1716389538.389377
87.99633994483871, 14.74047688424835, 88, 1716389538.389377
92.99923791833782, 14.82780279320502, 93, 1716389538.389377
97.00000000000001, 14.82780279320502, 97, 1716389538.389377
100.9993907806256, 14.89761241895416, 101, 1716389538.389377
104.9975629369564, 15.03723166721371, 105, 1716389538.389377
109.9809642166981, 15.47322278499169, 110, 1716389538.389377
113.9700427167232, 15.96302003702449, 114, 1716389538.389377
118.9510488014863, 16.66305478983479, 119, 1716389538.389377
122.9698197317546, 17.15649781387714, 123, 1716389538.389377
126.9779222508058, 17.57776636400845, 127, 1716389538.389377
132.9670104279895, 18.20724489681005, 133, 1716389538.389377
136.9846532570857, 18.55874309845218, 137, 1716389538.389377
140.9902188171449, 18.83883952809784, 141, 1716389538.389377
144.9902323745695, 19.11854772389936, 145, 1716389538.389377
149.9931342875817, 19.38073870313121, 150, 1716389538.389377
154.996949952689, 19.55547579655162, 155, 1716389538.389377
158.99756145007, 19.6951802284777, 159, 1716389538.389377
162.9993904092226, 19.76503241279133, 163, 1716389538.389377
167.9992383829383, 19.85230508380375, 168, 1716389538.389377
172.999238359784, 19.93958040804068, 173, 1716389538.389377
177.9969536711248, 20.11410447241339, 178, 1716389538.389377
182.993143498885, 20.37594368616282, 183, 1716389538.389377
187.9809473994019, 20.81231998334844, 188, 1716389538.389377
191.9779832093335, 21.23242537548082, 192, 1716389538.389377
195.9779669711902, 21.65284060984589, 196, 1716389538.389377
200.9724887776042, 22.17778600482678, 201, 1716389538.389377
205.9808688019517, 22.61596247958688, 206, 1716389538.389377
210.9877736486622, 22.96607937322185, 211, 1716389538.389377
215.9931309179833, 23.2283990322252, 216, 1716389538.389377
219.9902394683007, 23.50790409014105, 220, 1716389538.389377
224.9809363486889, 23.94453349026921, 225, 1716389538.389377
229.9625886606406, 24.55620348196314, 230, 1716389538.389377
233.9607081903833, 25.11810253791312, 234, 1716389538.389377
238.9509579585177, 25.81943640570013, 239, 1716389538.389377
242.9605950011898, 26.3829541425309, 243, 1716389538.389377
248.9549831909622, 27.11897246429367, 249, 1716389538.389377
253.9623952097385, 27.73380535027903, 254, 1716389538.389377
257.9607063077325, 28.29573132939095, 258, 1716389538.389377
262.962437868983, 28.90986674289329, 263, 1716389538.389377
266.9699046241366, 29.40192178875782, 267, 1716389538.389377
270.9699602801973, 29.89306686607441, 271, 1716389538.389377
275.9724449161132, 30.41884918816065, 276, 1716389538.389377
280.9724585272087, 30.94437179507281, 281, 1716389538.389377
284.9779367064034, 31.36536451597043, 285, 1716389538.389377
291.973278929149, 31.9773776579449, 292, 1716389538.389377
295.9846771106251, 32.32832952371256, 296, 1716389538.389377
299.9847204841468, 32.67828797250771, 300, 1716389538.389377
303.9847206491962, 33.02824264105136, 304, 1716389538.389377
308.9877830315685, 33.37809084340516, 309, 1716389538.389377
313.9931309308423, 33.64041001134513, 314, 1716389538.389377
317.997559123625, 33.78024772521156, 318, 1716389538.389377
322.9992381040247, 33.86755235656454, 323, 1716389538.389377
327.9992383597415, 33.7802770274599, 328, 1716389538.389377
332.9992383597805, 33.69300170281813, 333, 1716389538.389377
337.9992383597805, 33.60572637817704, 338, 1716389538.389377
342.0, 33.60572637817704, 342, 1716389538.389377
347.9963449621146, 33.81512335839204, 348, 1716389538.389377
353.9552496657498, 34.54678485589015, 354, 1716389538.389377
359.9081666599425, 35.59644473588427, 360, 1716389538.389377
363.937835857265, 36.30698413870204, 364, 1716389538.389377
368.9230943520509, 37.18601971713885, 369, 1716389538.389377
372.9498065262367, 37.82378827119527, 373, 1716389538.389377
377.9508518642716, 38.5266393573872, 378, 1716389538.389377
381.9698182638144, 39.0201063820386, 382, 1716389538.389377
385.9779222427643, 39.44137508561144, 386, 1716389538.389377
390.9724885325772, 39.96632515598596, 391, 1716389538.389377
394.977936870776, 40.38731474046851, 395, 1716389538.389377
399.972488612711, 40.91226328179944, 400, 1716389538.389377
403.977936871215, 41.33325285790574, 404, 1716389538.389377
408.9625663029904, 41.94528839394997, 409, 1716389538.389377
414.9549978847469, 42.68106647445665, 415, 1716389538.389377
418.9698491676224, 43.17402822631498, 419, 1716389538.389377
423.9625060184742, 43.78704940548569, 424, 1716389538.389377
427.9699051321126, 44.27909614601648, 428, 1716389538.389377
431.9699602839837, 44.77024116142637, 432, 1716389538.389377
435.9699606950774, 45.26137945551395, 436, 1716389538.389377
441.9550530014242, 45.9962563863121, 442, 1716389538.389377
445.9698495784537, 46.48921142113715, 446, 1716389538.389377
450.9625060215365, 47.10223255024013, 451, 1716389538.389377
454.9699051321355, 47.59427929039772, 455, 1716389538.389377
459.9625064356252, 48.20729364920997, 460, 1716389538.389377
464.9724040831727, 48.73385511021477, 465, 1716389538.389377
468.9699789107859, 49.22469558009976, 469, 1716389538.389377
472.9699608339187, 49.71583160415117, 473, 1716389538.389377
476.9699606991765, 50.20696983121852, 477, 1716389538.389377
481.9625068498135, 50.81997741811197, 482, 1716389538.389377
487.9549974415919, 51.55576274413828, 488, 1716389538.389377
492.9723629481177, 52.08310910875006, 493, 1716389538.389377
498.9669799735477, 52.71316874691848, 499, 1716389538.389377
503.9724285896815, 53.23926259587886, 504, 1716389538.389377
509.9770632710102, 53.76460005910971, 510, 1716389538.389377
513.9846915111884, 54.11522209775166, 514, 1716389538.389377
518.9877829605898, 54.46507233267013, 519, 1716389538.389377
522.9902264409453, 54.74495044523548, 523, 1716389538.389377
528.9917638142044, 55.05947769125217, 529, 1716389538.389377
532.9945068516119, 55.26925256488335, 533, 1716389538.389377
538.9853709205256, 55.6881745900094, 539, 1716389538.389377
542.984723124303, 56.03807256928735, 543, 1716389538.389377
547.9725257885178, 56.56231175396576, 548, 1716389538.389377
551.9779370748679, 56.9832974441421, 552, 1716389538.389377
554.9834448230924, 57.29918903760431, 555, 1716389538.389377
560.9670406812183, 57.9280903044115, 561, 1716389538.389377
564.9779070268762, 58.34964934442471, 565, 1716389538.389377
569.9625660805351, 58.96168851757891, 570, 1716389538.389377
574.9509760393769, 59.66276381703225, 575, 1716389538.389377
578.9501497960747, 60.29617071424741, 579, 1716389538.389377
583.9232814284506, 61.17306799965001, 584, 1716389538.389377
588.9228732375735, 62.05463092812742, 589, 1716389538.389377
593.906718881381, 63.02339238506538, 594, 1716389538.389377
598.9064220803581, 63.99523623847939, 599, 1716389538.389377
602.9247894438397, 64.77632772882187, 603, 1716389538.389377
606.9380883947035, 65.48398061550815, 607, 1716389538.389377
612.9079059416742, 66.5366205189459, 613, 1716389538.389377
616.9378318963687, 67.24720519501585, 617, 1716389538.389377
620.9382865388638, 67.95259328358817, 621, 1716389538.389377
624.9499935672664, 68.58798525602772, 625, 1716389538.389377
629.9378260408079, 69.37798031078214, 630, 1716389538.389377
634.9507352710109, 70.0824987582822, 635, 1716389538.389377
639.9508609027519, 70.7852205881839, 640, 1716389538.389377
642.9703259879082, 71.20957873160648, 643, 1716389538.389377
647.9625095726203, 71.82254180100205, 648, 1716389538.389377
652.962451310246, 72.43645745179653, 653, 1716389538.389377
657.9724037811901, 72.96302467497249, 658, 1716389538.389377
660.9834145111307, 73.27949465511965, 661, 1716389538.389377
664.9779967244297, 73.69934216385431, 665, 1716389538.389377
669.9724889405956, 74.2242844487748, 670, 1716389538.389377
673.9846741044802, 74.5753051665816, 674, 1716389538.389377
677.9847204727075, 74.92526387737954, 678, 1716389538.389377
682.9809153472444, 75.36237428966785, 683, 1716389538.389377
686.9847061695014, 75.71266059774448, 687, 1716389538.389377
691.9809152928163, 76.14977225663933, 692, 1716389538.389377
696.980900867386, 76.58721431220733, 697, 1716389538.389377
701.980900812493, 77.02465762503443, 702, 1716389538.389377
707.9670267448621, 77.65382481336012, 708, 1716389538.389377
713.9669507412679, 78.28444223665454, 714, 1716389538.389377
718.9624844140436, 78.89781664514198, 719, 1716389538.389377
722.9699049710765, 79.38986601859053, 723, 1716389538.389377
728.9413155296967, 80.22909304284969, 729, 1716389538.389377
733.9507692304769, 80.93312584736031, 734, 1716389538.389377
738.950861233243, 81.63584295101783, 739, 1716389538.389377
743.9508621286077, 82.33854725036506, 744, 1716389538.389377
747.9501483936441, 82.97197196715047, 748, 1716389538.389377
752.9378279469775, 83.76194280172331, 753, 1716389538.389377
757.9230942318758, 84.64097975376715, 758, 1716389538.389377
762.9067229416687, 85.60969904300432, 763, 1716389538.389377
766.9247949715094, 86.39073312630236, 767, 1716389538.389377
772.8672421940935, 87.6538392758404, 773, 1716389538.389377
777.8878369270886, 88.72099962982448, 778, 1716389538.389377
782.8882869714168, 89.78387809804959, 783, 1716389538.389377
786.9101492052314, 90.63875130597973, 787, 1716389538.389377
791.8887745482274, 91.69699079073018, 792, 1716389538.389377
795.9244652089693, 92.4814495889494, 796, 1716389538.389377
800.9067481303793, 93.44990728342466, 801, 1716389538.389377
804.9378143066136, 94.16069301131605, 805, 1716389538.389377
810.9079017776603, 95.21338050965115, 811, 1716389538.389377
814.9496194804353, 95.85352570595495, 815, 1716389538.389377
819.9508500439547, 96.55640282389108, 820, 1716389538.389377
824.9623644018873, 97.17173941378846, 825, 1716389538.389377
828.9699040765241, 97.66380341303968, 829, 1716389538.389377
832.9699602761155, 98.15494855709346, 833, 1716389538.389377
836.9699606950187, 98.64608685213993, 837, 1716389538.389377
841.9625068497824, 99.25909443954009, 842, 1716389538.389377
846.9509754629474, 99.96017798232096, 847, 1716389538.389377
851.9508632402832, 100.662866383966, 852, 1716389538.389377
856.95086214814, 101.3655704039873, 857, 1716389538.389377
861.9508621375113, 102.0682745760054, 862, 1716389538.389377
865.9605940686664, 102.6318056485428, 866, 1716389538.389377
870.950956847893, 103.3331553990031, 871, 1716389538.389377
875.9623651979878, 103.9484789727746, 876, 1716389538.389377
879.9699040824581, 104.4405428750056, 880, 1716389538.389377
884.962506427801, 105.0535573617413, 885, 1716389538.389377
889.9624512868051, 105.6674733957929, 890, 1716389538.389377
895.9549970274336, 106.4032654932465, 896, 1716389538.389377
900.9509023778724, 107.1053942012913, 901, 1716389538.389377
904.9605944602828, 107.6689196734529, 905, 1716389538.389377
910.9256448959872, 108.6136908482195, 911, 1716389538.389377
916.8883969880001, 109.7727324431766, 917, 1716389538.389377
922.8877126390199, 110.9388812740366, 923, 1716389538.389377
927.9060728821539, 111.9143516894614, 928, 1716389538.389377
932.8886854707878, 112.9734386894352, 933, 1716389538.389377
937.868997339754, 114.1232342818646, 938, 1716389538.389377
941.8941226694459, 115.0525076857842, 942, 1716389538.389377
947.8435067595887, 116.4260312289867, 948, 1716389538.389377
952.8678394123128, 117.5859898201342, 953, 1716389538.389377
956.8940929918407, 118.5155237010526, 957, 1716389538.389377
961.8691359341684, 119.6641028659198, 962, 1716389538.389377
966.8684962863971, 120.8182961472237, 967, 1716389538.389377
971.8684798922661, 121.9726333179682, 972, 1716389538.389377
976.8684794720855, 123.1269741765897, 977, 1716389538.389377
980.9097163638477, 123.9859655951967, 981, 1716389538.389377
984.9106174888709, 124.8363833819133, 985, 1716389538.389377
990.8881208922061, 125.9982923413254, 991, 1716389538.389377
994.9244531994673, 126.7828758629933, 995, 1716389538.389377
998.9251207262834, 127.5605268536131, 999, 1716389538.389377
